x y
0 0
1 nan
2 0.9999999999999999
3 0.9499474887316665
4 0.6800691345087051
5 0.6541133043998784
6 0.7498079406092791
7 0.7738894113796236
8 0.6088984454152364
9 0.6078980017000131
10 0.26339138669101375
11 0.25834178573321
12 0.3567672878980644
13 0.4280077378284415
14 0.3508645350668048
15 0.34920948188473394
16 0.3546236367896497
17 0.3340800900809227
18 0.3618964539760388
19 0.30210180155220423
20 0.3093432581306997
21 0.30983845050844894
22 0.3780823123605903
23 0.31037701571819515
24 0.2999478452396881
25 0.2606300668730062
26 0.25844276272251143
27 0.29985615621649603
28 0.34244859930202853
29 0.3098485207027036
30 0.3297650135630197
31 0.28980606484615823
32 0.2903746305735137
33 0.297925014634325
34 0.2934216530761626
35 0.29314758959206777
36 0.30974586590624353
37 0.3121013608615025
38 0.3354904445789674
39 0.28872831831259343
40 0.2961409246609318
41 0.28415901583213
42 0.28961619268672306
43 0.28077651399877046
44 0.29326068939357486
45 0.3123046897276595
46 0.31396221978946554
47 0.30739391009114564
48 0.29291852938909074
49 0.30134491720811646
50 0.3022996798914593
51 0.311244663022706
52 0.33509900315180313
53 0.3495382819106504
54 0.33342277792534136
55 0.3155197753054774
56 0.3083535801982923
57 0.3299505506349711
58 0.3308867261693759
59 0.3475245855285319
