x y
0 0
1 nan
2 0.9999999999999999
3 -0.8128001892732553
4 -0.4018590340278712
5 -0.39854057066522774
6 -0.531819753518138
7 -0.4814916971271652
8 -0.6767527854051166
9 -0.674662752914247
10 -0.7509108700475732
11 -0.7294744704130518
12 -0.7440161433955168
13 -0.7396493534838585
14 -0.7033956819417126
15 -0.7015732648260808
16 -0.7004258407807048
17 -0.6782283377814329
18 -0.6989817814520268
19 -0.6506404956513262
20 -0.6478363725724618
21 -0.6476487285003634
22 -0.49633164749458647
23 -0.5162530674509179
24 -0.535549445250679
25 -0.5004481042314999
26 -0.48057538522781035
27 -0.4041665585153508
28 -0.4125737374244848
29 -0.38193866235449875
30 -0.4199992789622307
31 -0.3827267770433878
32 -0.3771863562324256
33 -0.4271937154596212
34 -0.3978081511613128
35 -0.3991866140167414
36 -0.42289548644449837
37 -0.423965365359025
38 -0.45192894376008846
39 -0.4735579721052723
40 -0.4966028719646295
41 -0.4881823106468237
42 -0.5030448714005938
43 -0.5016833720159818
44 -0.5171837462436829
45 -0.5225063854689571
46 -0.5230523201690703
47 -0.5205048605177511
48 -0.5103230552941095
49 -0.5194452461609139
50 -0.5189622427371314
51 -0.5213208612944056
52 -0.526959902449814
53 -0.5396214389228068
54 -0.537448450275287
55 -0.537330299673542
56 -0.5451200528503114
57 -0.499654167757022
58 -0.4981152944478267
59 -0.4991184105766079
