x y
0 nan
1 nan
2 -1.0
3 -0.6117962277544905
4 -0.5372775277628096
5 -0.29193710406057105
6 -0.19541183571155463
7 -0.21439069920012901
8 -0.01215541595815788
9 0.09184556439459629
10 -0.04370522507969159
11 0.07882578486772242
12 0.2049611975440439
13 0.30352119369831154
14 0.3451012589374407
15 0.28243875601473944
16 0.2858872991310077
17 0.28562038268120654
18 0.2881519199378792
19 0.2903977437736765
20 0.04398155819398227
21 0.04326522874153523
22 -0.06612025979458488
23 0.005307130506064619
24 0.01744758435699525
25 0.06448094958016497
26 0.14046335851722794
27 0.012944250484527844
28 0.031018257429462043
29 0.02802427027165169
30 -0.029331041852282195
31 0.012527829529776281
32 0.010999057584087856
33 0.03729156736334834
34 0.04413374476312177
35 0.06370853208397889
36 0.07522277250760982
37 0.07547630259847496
38 0.08638873342624633
39 0.07668216764069628
40 0.051913541386301706
41 0.06593268853568736
42 0.06795487531378731
43 0.05555296969547022
44 -0.00031792520013143865
45 -0.056100948971413794
46 -0.04471227320847791
47 -0.04222317819876852
48 -0.029644152107665186
49 -0.028875034989553475
50 -0.03086519942402386
51 -0.06537999898121387
52 -0.05883307161166615
53 -0.09743996457315335
54 -0.09363998385103985
55 -0.09350428034990814
56 -0.10483941446428358
57 -0.10102938828377561
58 -0.09484883846178416
59 -0.12303682281538275
