x y
0 0
1 nan
2 -0.9999999999999999
3 -0.9762210399274298
4 -0.6491569011219458
5 -0.4690117984007504
6 -0.6133551191105491
7 -0.6615960915778735
8 -0.3326455886032462
9 -0.2462492380588326
10 -0.2342666995624614
11 -0.25347607116276677
12 -0.32410027696698424
13 -0.3602068150632743
14 -0.35391413985967957
15 -0.3414058406525208
16 -0.31441475247389217
17 -0.3113539431675754
18 -0.3235406311638012
19 -0.31995728476563456
20 -0.33392041133274203
21 -0.3265018340743641
22 -0.3652154254456031
23 -0.3550423903318073
24 -0.2825001940295787
25 -0.27911999593075776
26 -0.27609271250808803
27 -0.30484119233535395
28 -0.3347033913299149
29 -0.33087955382457396
30 -0.3833387295523224
31 -0.3774314851339921
32 -0.37326358515439567
33 -0.37220958830984063
34 -0.34505498049975114
35 -0.346668520094921
36 -0.38453636585410933
37 -0.3767943561385374
38 -0.33238672204266656
39 -0.3267548603840006
40 -0.3281608391174093
41 -0.32785393322381184
42 -0.3298888143412461
43 -0.31232486157051514
44 -0.3515427614927932
45 -0.36591446147888584
46 -0.3607874555085771
47 -0.3633861852018105
48 -0.35871328192441077
49 -0.3734594404905765
50 -0.37554544478801627
51 -0.3816158216487085
52 -0.3998983716199927
53 -0.3571011147782689
54 -0.32397312347857815
55 -0.32333464859496047
56 -0.27982884986430606
57 -0.2928759593501801
58 -0.29426282304358825
59 -0.3050373820534201
