x y
0 nan
1 nan
2 1.0
3 0.5447047794019222
4 0.40081883401970775
5 0.46709936649691375
6 0.4641781410551519
7 0.44626510324344365
8 0.37966319830099965
9 0.33217476353481734
10 0.22291128503014104
11 0.13791099338473772
12 0.09258200997725509
13 0.05172011426957693
14 0.028677084649706704
15 0.01031966878316213
16 0.02890946261549342
17 0.032226314412719045
18 0.0073138976879758705
19 -0.013403193385484668
20 0.004752206381534261
21 0.012603487925714411
22 -0.036924994316214155
23 -0.0434683048532775
24 -0.04260023719128418
25 -0.04724435014003221
26 0.02110486250153305
27 0.025164220591907045
28 0.023825157686689784
29 0.023985517389899687
30 0.026439125080665215
31 -0.007192685694131643
32 -0.007245452738940431
33 -0.010349837360014165
34 -0.01106375076120886
35 -0.014378950468457673
36 0.03831030469934897
37 0.03821690487297482
38 0.07173667597046779
39 0.07153139450764132
40 0.07008369310828698
41 0.08511841396280016
42 0.09489669238455245
43 0.09432817211233371
44 0.09101311510744697
45 0.04866162609546296
46 0.07514474210995273
47 0.08907500273863499
48 0.08685287449612561
49 0.07886855070192804
50 0.07908090140185216
51 0.0763627263438208
52 0.07659604301111414
53 0.07771463562905707
54 0.09373700547058555
55 0.09489219963320901
56 0.09239989470524665
57 0.10716251788430069
58 0.10876780704500516
59 0.0863273263023155
