x y
0 nan
1 nan
2 1.0
3 0.8885561370465057
4 0.7651190556242984
5 0.785150304902766
6 0.7381675304295117
7 0.7224410820762568
8 0.6515786514070429
9 0.6502203870535448
10 0.3213118282720506
11 0.397816044742621
12 0.38039058792907116
13 0.36074723955243426
14 0.35075420913316163
15 0.42349230751511613
16 0.40658916838138986
17 0.3991137041884239
18 0.3970194294259721
19 0.3951657015763524
20 0.3392211189799203
21 0.33915272737757457
22 0.25697425326645645
23 0.24157252168457194
24 0.24144591311609598
25 0.23314075644342291
26 0.2824151998565552
27 0.2580349271092833
28 0.27020793999580994
29 0.26213874799132564
30 0.2583777000317932
31 0.2888127762744809
32 0.28881433568470466
33 0.28373295850267327
34 0.2864942468807991
35 0.27603644951580586
36 0.2740494606045473
37 0.2740767343801937
38 0.3009355279026807
39 0.3078422425441109
40 0.3494141965964238
41 0.3608593617067606
42 0.34099784382391185
43 0.35610331628040987
44 0.35119063284534646
45 0.305295673214569
46 0.3206701916655802
47 0.2951069737674749
48 0.2881101342811807
49 0.28392006954240706
50 0.27957606497571136
51 0.273529823979719
52 0.2738372062326407
53 0.2736133540158689
54 0.24417093902766793
55 0.2444700202574724
56 0.267810544055759
57 0.24110062485222514
58 0.23617342262548327
59 0.2135726651930632
